,age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,pred_outcome
2534,23,0.003752477,laptop,M,0,27453,2,3,1,0
2535,54,0.003912765,laptop,M,0,62482,1,1,7,0
2536,28,0.004743130999999999,laptop,F,0,44766,1,1,5,0
2537,60,0.005386225,desktop,F,0,66772,1,2,22,0
2538,48,0.006221744,iPhone,F,1,71780,1,1,0,1
2539,17,0.00353225,Android,M,0,40886,2,2,0,1
2540,17,0.003271594,other,M,0,23696,1,2,0,1
2541,18,0.00498067,desktop,F,0,21228,2,2,1,1
2542,19,0.0034575820000000003,desktop,M,1,46673,2,3,1,1
2543,46,0.004040861,other,M,1,48309,1,2,3,0
2544,25,0.005058003,Android,F,1,59920,2,3,1,0
2545,53,0.006516887,iPhone,F,0,77483,1,2,3,0
2546,53,0.005086304,laptop,F,0,80731,1,3,5,0
2547,47,0.003921357,desktop,M,0,49658,2,2,1,0
2548,51,0.004362377,desktop,M,1,68615,1,1,1,1
2549,53,0.005108597,other,F,1,81555,1,3,14,0
2550,32,0.004521014,Android,F,0,34091,2,1,3,0
2551,39,0.006495741,iPhone,F,0,67231,1,2,8,0
2552,42,0.004195347,other,M,0,62414,2,3,12,0
2553,42,0.004708197,desktop,F,0,53097,1,1,8,0
2554,22,0.0053055559999999995,iPhone,M,1,24151,1,2,2,1
2555,30,0.0044884059999999995,Android,F,1,45054,1,1,3,1
2556,36,0.004567067,laptop,F,1,46086,1,2,6,0
2557,54,0.004136414000000001,other,M,0,88828,1,2,12,0
2558,18,0.005462771,iPhone,M,0,34859,2,3,0,0
2559,53,0.003753962,laptop,M,0,82655,1,2,15,0
2560,27,0.004684902,Android,F,0,37977,1,3,0,0
2561,48,0.00356664,other,M,0,50887,1,1,7,0
2562,20,0.003929985,Android,M,0,50784,2,1,2,1
2563,35,0.004219323,laptop,M,1,54652,1,3,7,0
2564,21,0.004146482,other,M,1,43417,1,2,0,0
2565,53,0.005133546,iPhone,M,0,62587,2,1,1,1
2566,22,0.0038336040000000004,other,M,0,58048,2,3,2,0
2567,16,0.003364711,other,M,0,44817,1,3,0,0
2568,37,0.005836518000000001,iPhone,M,1,47923,1,3,1,0
2569,59,0.005539166,desktop,F,1,95665,2,3,12,0
2570,60,0.0036802740000000003,Android,M,1,84956,2,1,11,1
2571,40,0.006194936,iPhone,F,1,52424,2,1,7,1
2572,34,0.004113107,desktop,M,1,42655,1,2,8,1
2573,21,0.004876142,laptop,F,0,21677,2,1,2,1
2574,22,0.005516244,iPhone,M,0,32344,1,2,1,0
2575,51,0.005008285,laptop,F,1,67728,2,1,3,1
2576,17,0.004939647,Android,F,0,35139,2,3,0,0
2577,25,0.0036222690000000004,laptop,M,0,39485,2,3,0,0
2578,49,0.003776256,laptop,M,0,86871,1,2,5,0
2579,20,0.004926356,laptop,F,0,54417,2,3,1,0
2580,17,0.004192372,desktop,F,1,36604,2,3,0,1
2581,18,0.003571688,other,M,0,53024,1,3,0,0
2582,43,0.0054230219999999996,iPhone,M,0,60994,2,2,0,0
2583,30,0.003559935,desktop,M,0,47836,2,3,4,0
2584,28,0.006520189,iPhone,F,0,56841,2,2,3,0
2585,51,0.005320711,desktop,F,1,82998,2,3,7,0
2586,46,0.004470947,Android,F,0,52460,1,3,2,0
2587,32,0.0048304540000000005,laptop,F,1,38978,2,3,3,0
2588,24,0.004743118,other,F,1,53952,2,3,0,0
2589,22,0.005571624,iPhone,M,0,56999,2,2,0,0
2590,20,0.0038125629999999997,desktop,M,0,49865,2,2,0,1
2591,42,0.004252744,other,M,1,46560,2,2,12,0
2592,27,0.003430859,Android,M,0,45987,1,1,1,1
2593,52,0.004852457,desktop,F,0,63167,2,2,10,0
2594,39,0.006330078,iPhone,F,1,48653,1,1,2,0
2595,43,0.004368544,other,M,1,65120,1,3,0,0
2596,20,0.004946389,other,F,0,38520,1,1,2,0
2598,16,0.005398946999999999,iPhone,M,1,33808,2,1,0,1
2599,25,0.004579628,Android,F,0,63985,2,2,1,0
2600,32,0.005839631999999999,iPhone,F,1,57559,2,3,1,0
2601,48,0.0045792870000000005,other,F,0,69069,1,3,12,0
2602,29,0.003929846,Android,M,0,59815,2,1,4,1
2603,18,0.0036205770000000003,desktop,M,0,55153,1,2,0,1
2604,18,0.0044494999999999995,other,F,0,47622,1,2,1,0
2605,16,0.003185989,other,M,0,19173,1,1,0,0
2606,20,0.0048907479999999994,laptop,F,0,53625,1,3,2,0
2607,24,0.005205878,Android,F,0,47125,2,1,4,1
2608,55,0.004736205,Android,F,0,79783,2,3,8,0
2609,20,0.004731331,desktop,F,0,31893,1,1,2,1
2610,59,0.003593823,desktop,M,0,60115,1,2,7,0
2611,45,0.003694329,other,M,0,66938,2,1,11,1
2612,33,0.004583908,other,F,1,36716,2,1,2,0
2613,16,0.006416366999999999,iPhone,F,0,45887,1,2,0,0
2614,55,0.004755387,laptop,F,1,70686,1,1,5,0
2615,60,0.00486097,laptop,F,1,64243,2,1,0,1
2616,29,0.005392185999999999,iPhone,M,0,36235,1,1,4,1
2617,24,0.004389867,Android,F,1,52141,1,2,1,1
2618,33,0.003659284,other,M,1,57679,2,1,5,0
2619,19,0.005379233000000001,iPhone,M,0,49837,1,1,1,1
2620,25,0.0049564940000000005,Android,F,0,39819,1,2,4,0
2621,31,0.004391792,Android,F,1,60560,2,1,1,1
2622,28,0.003725535,other,M,1,58401,2,3,6,0
2623,33,0.005097315,other,F,0,66426,2,1,4,0
2624,49,0.0039025640000000003,Android,M,0,72191,1,3,5,0
2625,31,0.0052253429999999995,laptop,F,1,38747,1,1,5,1
2626,28,0.006433401,iPhone,F,0,41287,2,3,5,0
2627,43,0.004876056,laptop,F,1,73252,1,3,7,0
2628,31,0.004847899,Android,F,1,40810,1,1,5,1
2629,43,0.004356683,other,M,1,65139,1,3,7,0
2630,25,0.004538043,other,F,1,33607,2,3,4,0
2631,44,0.00544491,iPhone,M,0,81961,2,2,9,0
2632,50,0.004895832,desktop,F,1,52688,2,3,5,0
2633,29,0.004318828,other,F,0,36582,1,2,4,0
2634,24,0.004958425,laptop,F,1,37151,2,2,3,0
2635,25,0.005779306999999999,iPhone,F,0,38924,2,3,1,0
2636,50,0.004947091,Android,F,0,86578,1,3,17,0
2637,32,0.0062178630000000006,iPhone,F,0,57349,1,1,4,1
2638,19,0.0034373909999999997,laptop,M,1,40909,2,3,1,0
2639,25,0.003512257,Android,M,1,59578,1,3,4,1
2640,23,0.004879207,desktop,F,1,23109,2,3,3,0
2641,32,0.004039485,Android,M,0,51549,2,1,0,1
2642,57,0.004344529000000001,other,M,0,86946,2,1,11,1
2643,25,0.004035755,Android,M,1,51033,1,3,1,1
2644,50,0.006509125,iPhone,F,1,52920,2,3,12,0
2645,16,0.00466218,desktop,F,1,54547,1,2,0,1
2646,48,0.00392702,laptop,M,0,52187,1,2,12,0
2647,42,0.005327243000000001,iPhone,M,1,72813,1,2,0,0
2648,51,0.005411494,laptop,F,0,82837,2,2,16,0
2649,33,0.005124494,desktop,F,1,66646,2,2,7,0
2650,32,0.00391485,laptop,M,1,70674,2,2,5,0
2651,32,0.0049821940000000006,desktop,F,1,54535,1,3,1,0
2652,33,0.003881049,other,M,0,44472,2,1,1,1
2653,49,0.0044542290000000005,laptop,M,0,83239,2,1,0,0
2654,48,0.004161894,other,M,0,72604,1,2,9,0
2655,39,0.004755152,other,F,0,78965,2,1,2,0
2656,59,0.006047605,iPhone,M,0,64615,2,1,11,1
2657,30,0.004976845,laptop,F,0,51263,1,2,2,0
2658,35,0.005364378,iPhone,M,1,70509,1,2,0,0
2659,23,0.004418738,Android,F,1,28980,1,3,3,1
2660,28,0.004125555,Android,M,1,42179,2,3,6,1
2661,39,0.0046959409999999995,Android,F,1,44312,2,3,3,0
2662,21,0.003937634000000001,other,M,1,51668,2,1,2,1
2663,18,0.005754503,iPhone,F,0,20145,1,2,0,0
2664,53,0.00524745,iPhone,M,1,62316,1,3,12,0
2665,35,0.0033600109999999996,laptop,M,0,62780,1,2,3,0
2666,39,0.003439865,desktop,M,1,69998,2,2,6,1
2667,21,0.004700156,desktop,F,0,32257,2,1,0,0
2668,45,0.004593368,laptop,F,1,74808,1,1,12,0
2669,30,0.0048383670000000005,laptop,F,0,53628,2,3,5,0
2670,20,0.0032330270000000003,laptop,M,0,42006,2,3,2,1
2671,36,0.005382996,iPhone,M,1,64949,2,1,6,1
2673,25,0.005096717,desktop,F,1,32473,2,2,3,0
2674,52,0.006523141999999999,iPhone,F,0,75685,2,3,16,0
2675,38,0.004900715999999999,laptop,F,0,47231,1,3,2,0
2676,43,0.006498314,iPhone,F,0,53814,1,3,12,0
2677,58,0.00413389,other,M,0,89350,2,3,0,0
2678,37,0.0044042659999999996,Android,F,0,60666,1,3,7,0
2679,33,0.003548654,Android,M,0,67099,1,1,7,1
2680,26,0.005169587,iPhone,M,1,53810,1,3,4,0
2681,46,0.004972812,other,F,0,77456,1,3,3,0
2682,50,0.006918735,iPhone,F,0,53187,1,3,1,0
2683,25,0.00405828,Android,M,0,49387,1,1,1,1
2684,42,0.004853134,other,F,0,51232,2,2,13,0
2685,20,0.004868672,other,F,1,52318,1,3,2,0
2686,28,0.0033991359999999997,other,M,1,44783,1,1,3,0
2687,39,0.004398271,desktop,F,0,72331,1,2,7,0
2688,29,0.003708951,laptop,M,0,36159,1,2,6,0
2689,49,0.0053397259999999995,Android,F,0,49337,2,2,0,0
2690,25,0.00378922,other,M,0,25989,2,2,3,0
2691,42,0.003628326,desktop,M,0,53823,2,1,2,1
2692,54,0.005852616,iPhone,M,1,87549,2,1,19,1
2693,23,0.0042896,desktop,F,1,28823,1,3,3,1
2694,54,0.004656288,other,F,0,89701,2,1,2,0
2695,26,0.00446581,desktop,F,0,63566,1,3,0,0
2696,51,0.003693205,Android,M,0,58529,1,1,9,1
2697,20,0.0034342609999999997,other,M,1,34828,2,3,1,0
2698,16,0.0044074809999999996,laptop,F,0,20622,1,3,0,1
2699,23,0.0037733059999999997,other,M,0,62295,1,1,0,0
2701,58,0.004841137,other,F,1,76009,2,3,6,0
2702,18,0.0037804540000000004,laptop,M,1,52981,2,3,0,0
2703,23,0.004881072,desktop,F,0,51028,1,3,1,0
2704,18,0.0036144659999999998,desktop,M,0,32970,2,2,0,1
2705,43,0.006604535,iPhone,F,1,72553,1,1,9,1
2706,59,0.004402295,laptop,M,0,65035,2,3,13,0
2707,37,0.005165762,iPhone,M,1,50412,2,3,2,0
2708,37,0.004493426,desktop,F,1,54590,2,2,4,0
2709,42,0.0045930929999999995,other,F,0,55010,2,1,2,0
2710,26,0.0037658220000000003,laptop,M,1,45222,1,2,2,0
2711,57,0.006711544,iPhone,F,0,59792,1,2,15,0
2712,36,0.003783527,desktop,M,1,68197,1,3,3,1
2713,22,0.004190432,other,M,0,30367,1,1,3,1
2714,60,0.0037635140000000004,laptop,M,0,97827,1,3,8,0
2715,46,0.005080005,iPhone,M,0,83633,2,2,13,0
2716,40,0.006504395,iPhone,F,0,57606,2,3,3,0
2717,29,0.003503006,laptop,M,0,58686,2,2,3,0
2718,20,0.003594417,laptop,M,1,40092,1,2,2,0
2719,42,0.003569454,laptop,M,0,69401,1,1,12,0
2720,54,0.003727315,other,M,0,76029,1,3,19,0
2721,33,0.0044631770000000005,Android,F,0,56340,2,3,2,0
2722,20,0.004383895,other,F,1,51919,2,1,2,0
2723,31,0.003575773,Android,M,1,65819,2,1,1,1
2724,20,0.003486783,other,M,0,36447,2,1,0,0
2725,23,0.004591225,other,F,1,48858,1,3,1,0
2726,54,0.004713377,laptop,F,1,67256,2,1,3,1
2727,59,0.006300813000000001,iPhone,F,0,75093,1,1,0,0
2728,31,0.003990911,laptop,M,0,51258,1,2,3,0
2729,23,0.005113761,other,F,1,61393,1,3,1,0
2730,50,0.005051734,Android,F,0,54949,2,1,3,0
2731,58,0.004081266,other,M,1,73416,2,1,21,1
2732,37,0.004598133,other,F,0,43415,2,1,0,0
2734,16,0.005088282,other,F,1,27426,2,1,0,0
2735,28,0.005238911,Android,F,1,35093,1,2,3,0
2736,60,0.00521626,Android,F,0,77108,1,2,6,0
2737,19,0.003867577,laptop,M,1,40812,1,3,1,0
2738,35,0.005316207,other,F,1,50614,1,3,5,0
2739,55,0.005383006,iPhone,M,1,66802,1,1,14,1
2740,29,0.005087587,laptop,F,1,38096,1,3,1,0
2741,29,0.00330894,laptop,M,0,57623,2,1,5,1
2742,43,0.003943176,desktop,M,0,57704,1,1,6,1
2743,32,0.004018227,Android,M,0,71842,1,2,8,0
2744,51,0.005387348,other,F,0,86606,2,3,3,0
2745,33,0.003713923,other,M,1,56709,1,1,2,0
2746,24,0.004923903,desktop,F,0,55650,1,3,3,0
2747,22,0.00643496,iPhone,F,1,57832,2,3,3,0
2748,19,0.005251542,iPhone,M,1,45074,1,2,1,0
2749,32,0.006517106999999999,iPhone,F,0,62306,1,3,1,0
2750,49,0.004746319000000001,desktop,F,0,72792,2,1,8,0
2751,36,0.005008065999999999,other,F,0,66418,1,1,3,0
2752,29,0.005068155,Android,F,0,58340,1,1,0,0
2753,36,0.005117317,other,F,0,56251,2,2,2,0
2754,24,0.004856784,Android,F,0,47098,2,3,2,0
2755,16,0.0049509079999999995,desktop,F,1,34153,1,1,0,0
2756,50,0.004047973,laptop,M,1,82480,1,3,6,0
2757,25,0.003474105,desktop,M,0,53893,1,3,1,1
2758,58,0.004453667,laptop,M,0,66120,1,1,15,0
2759,27,0.005109499,iPhone,M,1,38188,1,3,1,0
2760,29,0.0051123029999999995,desktop,F,0,68437,1,2,4,0
2761,34,0.006673996,iPhone,F,1,59328,1,3,8,0
2762,17,0.003746689,other,M,1,41502,1,2,0,0
2763,47,0.005352608000000001,desktop,F,0,48562,2,1,15,0
2764,56,0.003893153,other,M,0,80687,2,3,17,0
2765,55,0.004055616,other,M,0,81776,2,1,3,0
2766,49,0.004412498,laptop,M,0,79812,2,3,3,0
2767,48,0.005415931999999999,Android,F,1,81797,2,2,16,0
2768,34,0.005995795999999999,iPhone,F,0,69938,1,3,2,0
2769,21,0.004266589,desktop,F,0,33688,2,3,1,1
2770,36,0.003942058,Android,M,1,52124,2,3,10,1
2771,21,0.004927821,other,F,1,26896,2,1,0,0
2772,54,0.0042183459999999996,Android,M,1,89155,1,2,16,1
2773,25,0.004204317,other,M,0,37961,1,2,2,0
2774,30,0.005413616,iPhone,M,0,46342,1,2,0,0
2775,58,0.00566524,iPhone,M,1,78242,2,2,9,0
2776,44,0.0069286999999999994,iPhone,F,0,51002,1,1,11,0
2777,38,0.0036392020000000002,other,M,1,68122,2,1,11,0
2778,55,0.004192667,laptop,M,1,83680,2,1,5,1
2779,39,0.00342074,Android,M,1,47377,1,2,8,1
2780,26,0.004792658,Android,F,1,54179,1,1,2,1
2781,38,0.0038329590000000004,desktop,M,1,46836,2,3,4,1
2782,55,0.006611115,iPhone,F,1,88727,1,1,0,1
2783,17,0.004842061,Android,F,1,43570,1,3,0,1
2784,30,0.004735602,Android,F,1,43695,1,1,0,1
2785,44,0.004085516,desktop,M,0,72005,1,2,11,0
2786,37,0.0038162879999999997,laptop,M,1,69470,1,2,7,0
2787,28,0.004462739,Android,F,0,46790,1,3,3,0
2788,23,0.005035193,desktop,F,1,33594,2,2,1,0
2789,58,0.003944059000000001,laptop,M,1,93427,1,2,14,0
2790,55,0.003710492,desktop,M,1,90737,1,3,8,1
2791,40,0.00529381,Android,F,0,48630,1,1,8,0
2792,16,0.003516915,desktop,M,0,42706,2,1,0,1
2793,50,0.0038608229999999998,other,M,1,60066,2,1,8,1
2794,32,0.004500550999999999,desktop,F,0,54244,2,3,0,0
2795,49,0.004652288,desktop,F,1,85200,1,1,12,1
2796,25,0.005817858,iPhone,F,1,41171,1,3,4,0
2797,58,0.005589349,iPhone,M,1,90568,1,1,4,1
2798,52,0.005985873,iPhone,M,0,68301,1,1,1,1
2799,22,0.004285579,other,F,0,30199,1,1,2,0
2800,40,0.004196686,other,M,1,49709,1,2,7,0
2801,37,0.004268229,laptop,M,0,61618,1,3,2,0
2802,34,0.004525433,laptop,F,0,53690,2,1,7,0
2803,16,0.003358941,Android,M,1,41879,1,2,0,1
2804,49,0.003709057,desktop,M,0,54972,1,1,5,1
2805,60,0.003604569,other,M,0,98761,2,3,5,0
2806,30,0.005079195999999999,desktop,F,1,45333,1,2,6,0
2807,26,0.004534209,other,F,1,54527,2,3,1,0
2808,54,0.004142375,other,M,0,62487,1,3,7,0
2809,59,0.006768056,iPhone,F,1,72772,1,2,15,0
2810,23,0.004608976,laptop,F,0,26079,1,2,2,0
2811,35,0.004037219,desktop,M,1,62289,2,1,8,1
2812,31,0.0036626040000000003,desktop,M,1,58168,2,3,0,1
2813,18,0.0037038059999999996,laptop,M,0,54207,2,2,0,1
2814,43,0.00536216,other,F,0,80295,2,3,5,0
2815,29,0.003770791,other,M,1,43123,2,3,3,0
2816,34,0.003786887,Android,M,0,46565,1,3,0,1
2817,43,0.004338318,other,M,1,62971,1,3,3,0
2818,32,0.00454333,Android,F,0,32051,1,3,3,0
2819,22,0.003994877,Android,M,0,26788,2,2,1,1
2820,60,0.006232799,iPhone,F,0,95562,2,2,4,0
2821,21,0.0054228209999999995,iPhone,M,0,32496,2,3,0,0
2822,56,0.006635899999999999,iPhone,F,0,62084,1,3,7,0
2823,20,0.004759639,Android,F,0,51573,2,3,2,0
2824,41,0.00410849,other,M,0,49008,2,3,10,0
2825,37,0.0038546120000000003,laptop,M,1,43103,2,3,2,0
2826,56,0.004188819,laptop,M,0,69819,1,2,3,0
2827,54,0.006896126,iPhone,F,0,84125,1,1,0,0
2828,34,0.00387874,other,M,1,39799,2,2,7,0
2829,26,0.006414988000000001,iPhone,F,0,34525,2,1,4,0
2830,52,0.004749638,desktop,F,1,80768,2,3,18,0
2831,20,0.0033077690000000003,other,M,1,48134,1,2,1,0
2832,52,0.003633545,laptop,M,0,60755,2,2,11,0
2833,26,0.004696585,Android,F,1,29887,1,2,0,0
2834,21,0.0042373490000000005,laptop,F,1,46331,1,2,2,0
2835,41,0.003522134,Android,M,0,45089,2,3,5,0
2836,31,0.005574152,iPhone,M,1,66001,2,3,6,0
2837,45,0.004329080999999999,Android,M,0,78164,1,3,0,0
2838,24,0.0050445329999999995,laptop,F,0,48743,1,2,1,0
2839,60,0.005642645999999999,iPhone,M,1,82415,1,3,13,0
2840,52,0.004523994,other,F,0,90859,1,3,1,0
2841,55,0.004229719,other,M,0,58365,2,1,0,1
2842,42,0.004476483,Android,F,0,70094,2,2,12,0
2843,43,0.005015662,Android,F,1,47218,1,2,8,0
2844,31,0.003585682,Android,M,0,61058,1,3,4,0
2845,36,0.003538119,other,M,0,42048,1,1,8,0
2846,51,0.003665335,laptop,M,1,89283,2,1,0,1
2847,51,0.004970377,other,F,1,68517,2,2,17,0
2848,31,0.004328681,Android,F,0,48764,1,3,4,0
2849,42,0.003798528,other,M,0,62774,2,3,5,0
2850,46,0.006896396999999999,iPhone,F,1,83307,2,3,8,0
2851,53,0.003835553,laptop,M,0,69480,2,3,9,0
2852,19,0.004086172,Android,M,1,51326,2,2,0,1
2853,23,0.005769528,iPhone,F,1,24321,1,1,1,0
2854,50,0.006813702,iPhone,F,0,85609,2,3,14,0
2855,47,0.004526723,other,F,0,65218,1,1,11,0
2856,24,0.00644196,iPhone,F,1,28095,1,2,4,0
2857,40,0.005352836,laptop,F,0,50271,1,1,9,0
2858,35,0.004023077,other,M,0,56416,2,3,6,0
2859,51,0.005175084,other,F,1,86062,1,3,10,0
2860,55,0.005080276,other,F,1,56225,2,2,12,0
2861,17,0.006362215,iPhone,F,1,25333,2,2,0,0
2862,21,0.004257411,Android,F,0,58110,2,1,2,0
2863,28,0.0033924740000000004,desktop,M,0,67539,2,2,5,0
2864,42,0.0040806209999999996,desktop,M,1,76823,2,1,0,1
2865,55,0.005605495,iPhone,M,1,92130,1,2,11,0
2866,55,0.005101115,iPhone,M,1,92055,1,2,9,0
2867,20,0.0036649190000000004,other,M,1,39623,1,3,1,0
2868,34,0.005003528,other,F,0,43030,1,3,9,0
2869,26,0.0044173120000000005,other,F,0,52425,1,3,2,0
2870,27,0.0035320779999999997,desktop,M,1,63484,2,2,5,1
2871,54,0.004449532,Android,M,0,85497,2,1,2,1
2872,21,0.006612609,iPhone,F,0,31430,2,1,0,0
2873,29,0.003980775,laptop,M,0,39848,2,2,5,0
2874,31,0.00333541,other,M,0,45157,2,1,4,0
2875,56,0.004386436,Android,M,0,83914,1,2,7,0
2876,52,0.004811372,Android,F,1,79933,1,3,9,0
2877,28,0.005270822,laptop,F,1,60081,1,3,3,0
2878,47,0.004446069,other,M,1,68561,2,1,11,1
2879,35,0.005205075,iPhone,M,1,60902,1,3,4,0
2880,16,0.005023232,desktop,F,1,28424,1,3,0,1
2881,37,0.004703071,Android,F,0,43754,2,3,5,0
2882,58,0.004322172,laptop,M,1,93253,1,1,8,1
2883,17,0.004442966,desktop,F,1,49825,1,2,0,1
2884,30,0.00371083,other,M,1,67295,1,2,2,0
2885,47,0.0036635759999999996,laptop,M,1,63970,1,3,9,0
2886,44,0.004830566,other,F,1,77345,1,2,2,0
2887,17,0.006479787,iPhone,F,0,44666,1,1,0,1
2888,22,0.004903155,Android,F,0,58691,1,1,0,0
2889,48,0.004862647,Android,F,0,70107,2,1,12,0
2890,26,0.003866247,other,M,1,45555,2,1,3,0
2891,43,0.004865663,laptop,F,1,46186,2,3,0,0
2892,54,0.004649365,desktop,F,1,61541,2,3,16,0
2893,22,0.005632374,iPhone,M,1,43368,1,2,3,0
2894,18,0.0049033570000000005,Android,F,0,20049,1,2,0,1
2895,41,0.004606682,desktop,F,1,78465,2,1,3,1
2896,49,0.003697678,desktop,M,0,58577,2,2,13,0
2897,49,0.0050582809999999995,desktop,F,1,77455,2,1,6,1
2898,26,0.00462559,other,F,1,51059,2,3,4,0
2899,16,0.0044289379999999995,desktop,F,0,40293,2,3,0,0
2900,26,0.004821617,other,F,1,36945,1,2,5,0
2901,53,0.003847488,desktop,M,0,53659,2,2,3,0
2902,49,0.005421461999999999,Android,F,1,79597,2,1,1,1
2903,31,0.004273666,other,M,0,42286,1,3,6,0
2904,23,0.0038658390000000003,desktop,M,0,26519,1,3,2,1
2905,32,0.004603763,Android,F,0,67687,1,1,6,0
2906,52,0.0053439080000000005,Android,F,0,59769,1,3,11,0
2907,53,0.005715088,iPhone,M,1,90641,1,3,13,0
2908,23,0.003366376,Android,M,1,62872,2,1,2,1
2909,26,0.003776903,desktop,M,1,44163,2,2,1,1
2910,49,0.00454506,laptop,F,0,81415,1,2,12,0
2911,47,0.0045258320000000005,laptop,F,0,66009,1,2,9,0
2912,20,0.0032178809999999997,other,M,0,46049,1,3,0,0
2913,43,0.003585645,desktop,M,1,60947,2,2,9,1
2914,26,0.005084023,iPhone,M,0,26754,1,3,0,0
2915,54,0.007037616,iPhone,F,1,66149,1,1,13,1
2916,58,0.004974623,other,F,1,59129,1,2,2,0
2917,37,0.006431505,iPhone,F,0,37134,2,3,0,0
2918,60,0.004319177,Android,M,0,91327,1,3,22,0
2919,27,0.003505442,Android,M,0,44195,1,1,3,1
2920,42,0.006674415,iPhone,F,0,68851,1,1,5,1
2921,49,0.005278729,iPhone,M,0,77084,2,2,2,0
2922,41,0.0047489690000000005,Android,F,0,64160,2,1,0,0
2923,22,0.005029087,Android,F,1,31337,2,3,2,0
2925,25,0.004678217,desktop,F,0,37531,1,3,1,0
2926,28,0.006082476999999999,iPhone,F,0,39311,1,1,5,0
2927,26,0.003358333,desktop,M,1,56885,1,1,0,1
2928,47,0.005180693,other,F,0,62048,1,2,11,0
2929,51,0.003993709,laptop,M,1,81408,1,1,15,1
2930,46,0.00478208,desktop,F,1,78438,2,2,13,0
2931,30,0.004685909,Android,F,1,42676,2,1,0,1
2932,37,0.006327928000000001,iPhone,F,0,57987,2,1,4,0
2933,22,0.005118671,desktop,F,1,38453,2,1,2,1
2934,48,0.004927208,laptop,F,0,75881,2,1,6,0
2935,16,0.004864402,iPhone,M,0,54807,1,1,0,1
2936,32,0.004987103,iPhone,M,0,34910,2,2,6,0
2937,16,0.005058138,other,F,1,49343,1,1,0,0
2938,47,0.004726946,other,F,1,53119,1,3,6,0
2939,39,0.004343738,other,M,0,70472,1,3,6,0
2940,55,0.005216633,iPhone,M,1,81293,1,2,11,0
2941,55,0.006443336,iPhone,F,0,57585,1,3,2,0
2942,30,0.004422217,Android,F,1,67805,1,3,3,0
2943,17,0.003250706,desktop,M,1,47338,1,1,0,1
2944,32,0.005126952,other,F,1,37743,2,3,6,0
2945,26,0.0046371929999999995,Android,F,1,56599,1,3,4,0
2946,55,0.006958285,iPhone,F,1,79958,2,2,0,0
2947,32,0.004661821,desktop,F,1,69873,2,1,7,1
2948,57,0.0050781,desktop,F,1,86894,1,2,5,0
2949,39,0.004318608,laptop,M,0,70423,2,1,0,0
2950,18,0.004326918,desktop,F,1,43129,2,1,0,0
2951,48,0.006021357,iPhone,F,0,81400,1,2,6,0
2952,34,0.0039332759999999994,other,M,1,40577,1,3,7,0
2953,50,0.004479805999999999,other,M,1,68275,2,1,1,1
2954,55,0.005381662,Android,F,0,81392,1,1,15,0
2955,48,0.004823927,laptop,F,0,64940,2,2,10,0
2956,34,0.0034157790000000003,Android,M,1,54358,1,3,1,1
2957,20,0.0047763829999999995,laptop,F,0,37420,2,2,1,0
2958,49,0.005087385,iPhone,M,1,53613,1,2,16,0
2959,20,0.003579508,desktop,M,0,23475,2,1,1,1
2960,29,0.00402306,laptop,M,1,56618,1,3,4,0
2962,47,0.0036659540000000003,laptop,M,0,86586,2,3,6,0
2963,53,0.005386155,other,F,0,88405,2,2,14,0
2964,31,0.0047131690000000006,laptop,F,1,43572,1,3,0,0
2965,51,0.003956591,laptop,M,0,60093,2,2,13,0
2966,59,0.0043677279999999995,desktop,M,0,60076,1,3,20,0
2967,55,0.004542644,Android,M,1,84079,1,2,4,1
2968,24,0.004673412,desktop,F,1,40094,2,1,1,1
2969,32,0.004975023,iPhone,M,0,59600,2,2,0,0
2970,32,0.004283101,other,M,0,46154,1,3,3,0
2971,54,0.004841885,laptop,F,0,59990,1,3,11,0
2972,27,0.004030823,other,M,0,54198,1,1,0,1
2973,52,0.00528398,Android,F,1,89267,2,3,7,0
2974,30,0.0046335809999999995,laptop,F,0,46872,2,3,6,0
2975,27,0.0037601270000000003,Android,M,1,50530,1,1,1,1
2976,58,0.006702547,iPhone,F,1,88446,2,3,0,0
2977,20,0.003829685,desktop,M,1,31094,2,1,2,1
2978,31,0.006443418,iPhone,F,0,58211,2,2,4,0
2979,46,0.005016,desktop,F,1,78260,2,2,13,0
2980,59,0.004515461,Android,M,1,82349,1,2,20,1
2982,22,0.004051409000000001,other,M,0,55833,2,2,3,0
2983,37,0.004452325,other,F,1,49240,1,3,2,0
2984,33,0.003667567,laptop,M,1,65182,1,3,4,0
2985,56,0.005525051,Android,F,0,62769,1,2,14,0
2986,25,0.00485451,Android,F,0,36595,1,1,2,0
2987,33,0.0037507129999999997,desktop,M,1,62636,2,1,1,1
2988,34,0.0037574170000000003,other,M,0,35249,1,2,0,0
2989,40,0.004708294,Android,F,0,60178,2,2,8,0
2990,16,0.003252037,other,M,0,24579,2,3,0,0
2991,43,0.0051101440000000005,laptop,F,1,69593,2,2,8,0
2992,56,0.005395655,Android,F,1,82062,1,2,12,0
2993,34,0.0036601520000000003,Android,M,0,44356,1,2,2,1
2994,35,0.003672488,Android,M,1,50323,2,1,8,1
2995,24,0.004058173,other,M,1,45816,1,2,1,0
2996,57,0.004075428,desktop,M,1,59838,1,3,6,1
2997,43,0.005238068,Android,F,1,60941,1,3,7,0
2998,25,0.003867099,laptop,M,1,31766,2,3,2,0
